,Club Name,Village Name,TA Name,District,Southings,Eastings
1,Ankadziwandani,Malopa,Makata,Blantyre,35.09424,-15.66176
2,Bondo,Chilipa,Makata,Blantyre,35.09424,-15.66176
3,Chigwirizano,Chilipa,Makata,Blantyre,35.0977,-15.66022
4,Chikondi,R.Msambuzi,Makata,Blantyre,35.00198,-15.6408
5,Chilala,R.Msambuzi,Makata,Blantyre,35.0647,-15.5989
6,Chimwemwe,R.Msambuzi,Makata,Blantyre,35.0647,-15.5989
7,Chimwemwe 2,R.Msambuzi,Makata,Blantyre,35.0647,-15.5989
8,Chisomo,Mtambosimama,Makata,Blantyre,35.11748,-15.53868
9,Gawaza,Gawaza,Makata,Blantyre,35.0325,-15.5931
10,Kachere,Chanika,Makata,Blantyre,35.0763,-15.634
11,Kachere 2,Chanika,Makata,Blantyre,35.0763,-15.6634
12,Khama,Pasani,Kapeni,Blantyre,34.99546,-15.62749
13,Lirangwe,Cholokoto,Makata,Blantyre,35.08527,-15.61606
14,Machedwa,Pasani,Kapeni,Blantyre,35.02617,-15.53243
15,Maela,Cholokoto,Makata,Blantyre,35.08388,-15.71949
16,Makhalidwe,Cholokoto,Makata,Blantyre,35.09313,-15.50442
17,Makomano,Namwalisiyo,Makata,Blantyre,35.07545,-15.57782
18,Mamiyo,Cholokoto,Makata,Blantyre,35.09416,-15.62061
19,M'balisa,Mailikali,Makata,Blantyre,35.08402,-15.64422
20,M'balisa,Cholokoto,Makata,Blantyre,35.08402,-15.64422
21,Mchele,Chilipa,Makata,Blantyre,35.0977,-15.66022
22,Mgwirizano,Gawaza,Makata,Blantyre,35.08402,-15.64422
23,Monjole,Cholokoto,Makata,Blantyre,35.06662,-15.57002
24,Msambachawa,Mili,Makata,Blantyre,35.07413,-15.6297
25,Mtambosimama ,Masilikali,Makata,Blantyre,35.13,-15.53
26,Musilira,Mazale,Kapeni,Blantyre,35.04502,-15.53243
27,Mvoniha,Fred I,Makata,Blantyre,35.10403,-15.5687
28,Mwaiwao,Namwalisiyo,Makata,Blantyre,35.0597,-15.58424
29,Mwayi,R.Msambuzi,Kapeni,Blantyre,35.0647,-15.5989
30,Mwayi 2,R.Msambuzi,Kapeni,Blantyre,35.0647,-15.5989
31,Nafenso,R.Msambuzi,Kapeni,Blantyre,35.0751,-15.64075
32,Nakhombe,Ntotela,Makata,Blantyre,35.08013,-15.59438
33,Namasewe,Chilipa,Makata,Blantyre,35.09886,-15.66022
34,Namathambo,Masilikali,Makata,Blantyre,35.08911,-15.6409
35,Namatunu,Gawaza,Makata,Blantyre,35.09744,-15.53892
36,Namwanje,Gawaza,Makata,Blantyre,35.0325,-15.59531
37,Namwiyo,Mulenga,Machinjiri,Blantyre,35.01949,-15.70394
38,Nankhwali,Roben Msambuzi,Kapeni,Blantyre,35.06922,-15.60713
39,Nansenga,Cholokoto,Makata,Blantyre,35.08527,-15.61606
40,Naphini 1,Masilikali,Makata,Blantyre,35.083,-15.63918
41,Naphini 2,Masilikali,Makata,Blantyre,35.08306,-15.63918
42,Oromando,Malopa,Makata,Blantyre,35.09424,-15.66176
43,Tagwirizana,Gawaza,Makata,Blantyre,35.02451,-15.59898
44,Takondwa,Patsani,Makata,Blantyre,34.98712,-15.62793
45,Taoloka A,Patsani,Makata,Blantyre,34.98916,-15.62727
46,Taoloka B,Patsani,Makata,Blantyre,34.98916,-15.62727
47,Tidalirane,Kaning'a,Kapeni,Blantyre,35.0854,-15.65155
48,Tigwirizane,Makata,Makata,Blantyre,35.07854,-15.63326
49,Timvane,Makata,Makata,Blantyre,35.06552,-15.55525
50,Tiwone,Chilipa,Makata,Blantyre,35.09886,-15.66019
51,Tiyamike,Fred II,Makata,Blantyre,35.10435,-15.56833
52,Tiyanjane,Mwazawonga,Kapeni,Blantyre,34.98991,-15.6569
53,Ufulu,Chanika,Makata,Blantyre,35.07413,-15.6297
54,Umodzi,Kaning'a,Kapeni,Blantyre,35.0854,-15.65155
55,Zikomo,R.Msambuzi,Kapeni,Blantyre,35.0647,-15.5989
56,Bridge/shire,Mwazika,Maseya,Chikhwawa,34.80395,-16.02515
57,Chigwilizano 2,Zakana,Chapananga,Chikhwawa,34.41999,-15.79529
58,Dzinthole ,Mwiza,Makhuwira,Chikhwawa,34.90219,-16.043379
59,Kachewere,Zakana,Katunga,Chikhwawa,34.45476,-15.8996
60,Kaloga,Mwazika,Maseya,Chikhwawa,34.80331,-15.8905
61,Kamulambala,Zakana,Katunga,Chikhwawa,34.48721,-15.8922
62,Kanthunkhama 2,Khumbulani,Katunga,Chikhwawa,34.4697,-15.79673
63,Kawaye ,Khumbulani,Katunga,Chikhwawa,34.90757,-16.04691
64,Likhubula I,Mwazika,Maseya,Chikhwawa,34.901526,-16.021504
65,Likhubula II,Mwazika,Maseya,Chikhwawa,34.81361,-16.04415
66,Magwada,Zakana,Katunga,Chikhwawa,34.47275,-15.8163
67,Mgwirizano,Mwazika,Maseya,Chikhwawa,34.74995,-16.05608
68,Muonekera,Mwazika,Maseya,Chikhwawa,34.90426,-16.06417
69,Nachilili,Zakana,Katunga,Chikhwawa,34.35545,-15.79778
70,Nangatani,Zakana,Katunga,Chikhwawa,34.39746,-15.84233
71,Samalani,Mwazika,Maseya,Chikhwawa,34.86471,-16.06514
72,Thundu,Mwazika,Maseya,Chikhwawa,34.80285,-15.99979
73,Tilimbenazo (drip),Mwazika,Maseya,Chikhwawa,34.85472,-16.08178
74,Timvane,Mwazika,Katunga,Chikhwawa,34.39872,-15.83868
75,Umodzi,Mwazika,Maseya,Chikhwawa,34.86277,-16.07602
76,Bawa,Winji,Chapananga,Chikwawa,34.3445,-15.78108
77,Chigwirizano,Zakaria,Chapananga,Chikwawa,34.34245,-15.81158
78,Chikondi,Chinkole,Katunga,Chikwawa,34.83543,-16.07241
79,Chiphunzitso,Mwiza,Makhuwira,Chikwawa,34.96796,-16.15469
80,Chipulumutso,Mwiza,Makhuwira,Chikwawa,34.96883,-16.15416
81,Chisomo,Mulongosola,Makhuwira,Chikwawa,34.97128,-16.15416
82,Chiyanjano,Dziphutsi,Maseya,Chikwawa,34.83779,-16.074
83,Kanthunkhama,Khumbulani,Katunga,Chikwawa,34.96796,-16.15469
84,Limbikani,Chinkole II,Katunga,Chikwawa,34.83721,-16.07321
85,Limphangwi,Mwiza,Makhuwira,Chikwawa,34.97048,-16.15505
86,Masiye,Mwiza II,Makhuwira,Chikwawa,34.96786,-16.15891
87,Samalani,Lionde,Katunga,Chikwawa,34.86471,-16.06514
88,Tikondane,Khambulani II,Katunga,Chikwawa,34.86208,-16.0607
89,Tikondane SD,Matabwa,Makhuwira,Chikwawa,34.96946,-16.1536
90,Tilimbenanzo,Khambulani II,Katunga,Chikwawa,34.83779,-16.074
91,Tiphunzire,Magret,Chapananga,Chikwawa,34.37677,-15.819
92,Tithandizane,Mulongosola,Makhuwira,Chikwawa,34.97038,-16.15626
93,Tiyamike,Mwazika,Maseya,Chikwawa,34.8358,-16.07228
94,Ulimiwalero,Mchipeta,Makhuwira,Chikwawa,34.96915,-16.15506
95,Zonse Ndi Moyo,Khumbulani,Katunga,Chikwawa,34.86811,-16.07021
96,Chigomedwe,Mbewa,Mabuka,Mulanje ,35.4891,-15.952
97,Chilimbikitso,Mamela,Mabuka,Mulanje ,34.8772,-16.1273
98,Gwilampini,Mwanavula,Mabuka,Mulanje ,35.4654,-16.0841
99,Khanyula,Wasi,Mabuka,Mulanje ,34.8784,-16.1273
100,Mangani,Mangani,Chikumbu,Mulanje ,34.8766,-16.1346
101,Mingole,Chenali,Mabuka,Mulanje ,35.5911,-16.03587
102,Mulema,Khosa,Mabuka,Mulanje ,34.8781,-16.1326
103,Namazoma,Namazoma,Mabuka,Mulanje ,35.5914,-16.0374
104,Samalani,Ekhamuno,Mabuka,Mulanje ,34.8781,-16.125
105,Sapitwa,Mbewa,Mabuka,Mulanje ,35.4973,-15.09443
106,Sokolowo,Michenga,Mabuka,Mulanje ,35.57705,-16.04429
107,Suluku,Ngwezu,Mabuka,Mulanje ,35.4907,-16.0106
108,Talandila,Misanjo,Mabuka,Mulanje ,34.8779,-16.1303
109,Thanguzi,Wasi,Mabuka,Mulanje ,34.8784,-16.1273
110,Thengethenge,Mamela,Mabuka,Mulanje ,35.4477,-16.1115
111,Tidziwane,Sitolo,Chikumbu,Mulanje ,34.8781,-16.1323
112,Tithokoze,Mwanavula,Mabuka,Mulanje ,35.4654,-16.0841
113,Tiyanjane,Mwanavula,Mkanda,Mulanje ,35.4717,-16.9722
114,Ankadziwandani,Mpenda 1,Thomasi,Thyolo ,34.98178,-16.02834
115,Chigwirizano,Samuti,Thomasi,Thyolo ,35.10105,-15.96264
116,Chipondwe,Mpenda 1,Thomasi,Thyolo ,34.98178,-16.02834
117,Chitsanzo,Jeremia,Thomasi,Thyolo ,35.01829,-16.03911
118,Chiyanjano,Samuti,Thomasi,Thyolo ,35.10105,-15.96264
119,Jeremia,Jeremia,Thomasi,Thyolo ,35.01829,-16.03911
120,Kadambo,Kadambo,Bvumbwe,Thyolo ,35.00563,-15.94852
121,Khamalipindula,Chafuta,Thomasi,Thyolo ,34.9953,-16.03568
122,Luzaya,Namaona,Thomasi,Thyolo ,35.06838,-15.97903
123,Madambe,Chafuta,Thomasi,Thyolo ,34.9953,-16.03568
124,Madwale,Mpenda 1,Thomasi,Thyolo ,34.98178,-16.02834
125,Masenjere,Mpenda 1,Thomasi,Thyolo ,34.98178,-16.02834
126,Mbendera,Chafuta,Bvumbwe,Thyolo ,34.98949,-16.02085
127,Misituiwiri,Samuti,Thomasi,Thyolo ,35.10105,-15.96264
128,Mphedzu II,Mphedzu,Bvumbwe,Thyolo ,35.0956,-15.94921
129,Namikuyu,Mpenda 1,Thomasi,Thyolo ,34.98178,-16.02834
130,Namsadi,Foliji,Thomasi,Thyolo ,35.0646,-15.9786
131,Nyambalo CBO,Chide,Bvumbwe,Thyolo ,35.1006,-15.93413
132,Tithandizane,Jeremia,Thomasi,Thyolo ,35.01829,-16.03911
